bus0,bus1,OHL Length (km),Cable Length (km),Circuit Type,R (% on 100 MVA),X (% on 100 MVA),B (% on 100 MVA),Winter Rating (MVA),Spring Rating (MVA),Summer Rating (MVA),Autumn Rating (MVA)
KINT1-,KINT1P,0.0,0.27,Cable,0.01,0.0154,0.354,148,140,140,140
KINT1-,KINT1R,0.0,0.26,Cable,0.01,0.0148,0.341,148,140,140,140
KINT1-,KINT1T,0.0,0.6,Cable,0.0135,0.0343,0.787,165,141,141,141
KINT1-,KINT1U,0.0,0.6,Cable,0.0135,0.0343,0.787,165,141,141,141
KINT2J,KINT2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
KINT2J,PERS2R,28.2,0.0,OHL,0.14,1.23,7.42,1090,1030,925,1030
KINT2J,ROTI2J,23.24,0.0,OHL,0.093,1.0226,6.135,1380,1320,1230,1320
KINT2J,TEAL2J,100.6,0.0,OHL,0.61,5.36,22.142,695,640,550,640
KINT2K,PEHE2R,50.4,0.0,OHL,0.26,2.19,13.22,1090,1030,920,1030
KINT2K,ROTI2K,23.24,0.0,OHL,0.093,1.0226,6.135,1380,1320,1230,1320
KINT2K,TEAL2K,100.6,0.0,OHL,0.61,5.36,22.142,695,640,550,640
KNOC2J,KNOC2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
KNOC2J,KNOC2L,0.0,1.47,Cable,0.01,0.042,8.36,930,900,900,900
KNOC2J,KNOC2N,0.0,0.51,Cable,0.01,0.0157,3.005,850,793,793,793
KNOC2K,KNOC2M,0.0,1.29,Cable,0.01,0.037,7.336,930,900,900,900
KNOC2K,KNOC2P,0.0,0.17,Cable,0.01,0.01,1.006,850,793,793,793
KNOC2N,TOMT2K,18.6,0.0,OHL,0.093,1.023,3.962,810,765,685,765
KNOC2P,TOMT2J,18.6,0.0,OHL,0.093,1.023,3.962,810,765,685,765
LAGG1R,MILW1S,5.7,0.0,OHL,0.648,1.344,0.276,254,247,237,247
LOCB1J,LOCB1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
LOCB1J,LOCB1L,0.0,0.83,Cable,0.0049,0.0635,1.489,373,373,373,373
LOCB1J,MYBS1Q,81.61,0.0,OHL,8.2998,19.0008,4.028,126,117,101,117
LOCB1J,SHIN1-,12.19,0.0,OHL,1.2402,2.8392,0.602,126,117,101,117
LOCB1K,LOCB1M,0.0,0.92,Cable,0.0055,0.0704,1.651,373,373,373,373
LOCB1K,SHIN1-,12.18,0.0,OHL,1.239,2.8364,0.604,126,117,101,117
LOCB2J,LOCB2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
LOCB2K,STRB2-,18.9,0.0,OHL,0.1134,1.0395,4.007,702,665,599,665
LOCL1S,MILS1Q,0.0,3.25,Cable,0.1638,0.6734,0.182,203,193,176,193
LOCL1S,QUOI1Q,18.3,0.0,OHL,0.9219,3.7893,1.025,241,230,210,230
LUIC1Q,ORRI1S,5.4,0.0,OHL,0.1271,1.1789,0.285,464,446,414,446
LUIC1R,ORRI1T,5.53,0.0,OHL,0.1301,1.2064,0.292,464,446,414,446
LUMB1Q,SFER1K,6.3,0.0,OHL,0.64,1.46,0.31,133,124,107,124
LUMB1Q,STRI1Q,7.9,0.0,OHL,0.71,1.84,0.395,133,124,107,124
LUMB1R,SFER1J,6.3,0.0,OHL,0.64,1.46,0.31,126,117,101,117
LUMB1R,STRI1R,7.9,0.0,OHL,0.71,1.84,0.395,126,117,101,117
LUNA1Q,TEAL1-,17.9,0.0,OHL,0.78,3.91,0.94,183,160,149,160
LUNA1R,TEAL1-,17.9,0.0,OHL,0.78,3.91,0.94,183,160,149,160
MELG1J,MELG1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
MELG1J,STRL1-,0.0,10.0,Cable,0.0752,0.806,18.176,317,277,277,277
MELG4J,MELG4K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
MELG4J,TUMM4-,53.19,0.0,OHL,0.0689,1.0183,32.161,2780,2670,2480,2670
MILC1R,MILC1S,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
MILC1R,MILC1T,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
MILC1S,MILC1V,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
MILC1S,TEAL1-,6.8,0.0,OHL,0.29,1.48,0.36,183,160,149,160
MILC1T,TEAL1-,6.8,0.0,OHL,0.29,1.48,0.36,183,160,149,160
MILW1Q,MILW1S,1.3,0.0,OHL,0.065,0.2691,0.073,241,230,210,230
MORF2-,NEDE2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
MOSS1Q,MOSS1S,0.21,0.0,OHL,0.0191,0.0504,0.01,132,123,106,123
MOSS1R,MOSS1T,0.21,0.0,OHL,0.0191,0.0504,0.01,132,123,106,123
MOTA1Q,SHIN1-,31.2,0.0,OHL,3.37,7.72,1.64,132,123,106,123
MOTA1R,SHIN1-,31.2,0.0,OHL,3.37,7.72,1.64,126,117,101,117
MYBS1Q,SPIT1J,3.99,0.0,OHL,0.3643,0.9289,0.198,126,117,101,117
MYBS1R,SPIT1J,3.99,0.0,OHL,0.3643,0.9289,0.198,126,117,101,117
MYBS1S,SPIT1M,4.5,0.0,OHL,0.104,1.002,0.237,463,444,415,444
MYBS1T,SPIT1K,4.5,0.0,OHL,0.104,1.002,0.237,463,444,415,444
MYBS3M,MYBS3N,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
NAIR1Q,SLKB1L,26.33,0.0,OHL,1.3428,5.8979,1.369,241,230,210,230
NAIR1R,SLKB1M,26.33,0.0,OHL,1.3428,5.8979,1.369,241,230,210,230
NEDE2J,NEDE2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
NEDE2J,PEHE2-,30.04,0.0,OHL,0.1502,1.3215,7.929,1090,1030,925,1030
NEDE2J,ROTI2J,17.32,0.0,OHL,0.0866,0.7623,4.574,1090,1030,925,1030
NEDE2K,PEHE2Q,30.04,0.0,OHL,0.1502,1.3215,7.929,1090,1030,925,1030
NEDE2K,ROTI2K,17.32,0.0,OHL,0.0866,0.7623,4.574,1090,1030,925,1030
ORRI1Q,ORRI1S,0.0,1.0,Cable,0.01,0.01,0.0,126,117,101,117
ORRI1R,ORRI1T,0.0,1.0,Cable,0.01,0.01,0.0,126,117,101,117
PEHE2-,PEHE2Q,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHE2-,PEHE2S,0.0,1.0,Cable,0.01,0.033,14.21,776,776,776,776
PEHE2-,PEHEMEC6,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHE2-,PERS2Q,47.6,0.0,OHL,0.24,2.08,12.52,1090,1030,920,1030
PEHE2R,PEHERSV2,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHE2T,PEHERSV1,0.0,1.0,Cable,0.01,0.032,13.51,776,776,776,776
PEHE2U,PEHEMEC5,0.0,1.0,Cable,0.01,0.021,5.25,313,313,313,313
PEHE2V,PEHEMEC3,0.0,1.0,Cable,0.01,0.021,5.25,313,313,313,313
PEHE2W,PEHEMEC1,0.0,1.0,Cable,0.01,0.021,5.25,313,313,313,313
PEHEMEC1,PEHEMEC2,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHEMEC1,PEHEMEC6,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHEMEC2,PEHEMEC3,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHEMEC2,PEHERSV2,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHEMEC3,PEHEMEC4,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHEMEC4,PEHEMEC5,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHEMEC4,PEHERSV1,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PEHEMEC5,PEHEMEC6,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PERS1Q,PERS1R,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PERS1Q,WIOW1R,0.0,3.7,Cable,0.084,0.221,5.104,155,129,129,129
PERS1R,WIOW1Q,0.0,3.7,Cable,0.084,0.221,5.104,155,129,129,129
PERS2Q,PERS2R,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
PORA1Q,PORA1U,5.6,0.0,OHL,0.778,1.25,0.274,99,99,99,99
PORA1R,PORA1T,5.6,0.0,OHL,0.778,1.25,0.274,99,92,79,92
PORA1T,PORA1U,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
QUOI1-,QUOI1Q,1.6,0.0,OHL,0.12,0.28,0.05,150,142,128,142
RANN1Q,TUMB1Q,23.8,0.0,OHL,2.42,5.51,1.18,126,117,101,117
RANN1R,TUMB1R,23.8,0.0,OHL,2.42,5.51,1.18,126,117,101,117
ROTI2J,ROTI2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
SFEG1Q,SFEG1S,0.0,0.4,Cable,0.01,0.034,0.46,160,135,135,135
SFEG1Q,SFER1L,2.1,0.0,OHL,0.25,0.49,0.1,150,142,128,142
SFEG1R,SFEG1T,0.0,0.4,Cable,0.01,0.034,0.46,160,135,135,135
SFEG1R,SFER1M,2.1,0.0,OHL,0.25,0.49,0.1,150,142,128,142
SFEG1S,SFEG1T,0.0,1.0,Cable,0.01,0.01,0.0,100,100,100,100
SFEM1Q,SFER1L,1.9,1.1,Composite,0.382,0.557,1.871,132,122,106,122
SFEM1R,SFER1M,1.9,1.1,Composite,0.382,0.557,1.871,132,122,106,122
SFER1J,SFER1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
SFER1J,SFER1M,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
SFER1K,SFER1L,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
SFER1L,SFER1M,0.0,1.0,Cable,0.01,0.01,0.0,100,100,100,100
SLKB1J,SLKB1L,0.0,1.5,Cable,0.0159,0.0956,2.316,306,253,253,253
SLKB1K,SLKB1M,0.0,1.5,Cable,0.0159,0.0956,2.316,306,253,253,253
SLOY1A,SLOY1K,0.0,0.8,Cable,0.0054,0.124,1.12,213,190,190,190
SLOY1A,SLOY1M,0.49,0.01,Composite,0.05,0.1154,0.023,126,117,101,117
SLOY1B,SLOY1K,0.0,0.8,Cable,0.0054,0.124,1.12,213,190,190,190
SLOY1B,SLOY1L,0.49,0.01,Composite,0.05,0.1154,0.023,126,117,101,117
SLOY1C,SLOY1J,0.0,0.8,Cable,0.0054,0.124,1.12,213,190,190,190
SLOY1C,SLOY1N,0.6,0.0,OHL,0.0643,0.1457,0.03,126,117,101,117
SLOY1D,SLOY1J,0.0,0.8,Cable,0.0054,0.124,1.12,213,190,190,190
SLOY1D,SLOY1P,0.6,0.0,OHL,0.0643,0.1457,0.03,126,117,101,117
SLOY1E,SLOY1J,0.0,1.2,Cable,0.0082,0.186,1.68,213,190,190,190
SLOY1F,SLOY1K,0.0,1.2,Cable,0.0082,0.186,1.68,213,190,190,190
SLOY1J,SLOY1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
SLOY1J,SLOY1T,5.4,0.0,OHL,0.547,1.254,0.266,132,123,106,123
SPIT2J,SPIT2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
SPIT2J,THUS2J,12.1,0.0,OHL,0.0605,0.6655,2.577,965,925,865,925
SPIT2K,SPIT2R,0.0,1.0,Cable,0.01,0.01,0.0,960,960,960,960
SPIT2K,THUS2K,12.1,0.0,OHL,0.0605,0.6655,2.577,965,925,865,925
STRW12,STRW1C,0.0,0.35,Cable,0.01,0.0631,0.48,200,178,178,178
TEAL2J,TEAL2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
TEAL2J,WFIB2-,38.8,0.0,OHL,0.19,1.67,10.2,955,885,760,885
THUS1J,THUS1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
TOMT1J,TOMT1K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
TOMT1J,TOMT1M,0.0,0.14,Cable,0.29,1.59,18.77,261,237,237,237
TOMT1K,TOMT1L,0.0,0.13,Cable,0.27,1.5,17.6,261,237,237,237
TUMM2J,TUMM2K,0.0,1.0,Cable,0.01,0.01,0.0,9999,9999,9999,9999
WHIB1A,WHIB1C,0.0,2.93,Cable,0.0896,0.2773,3.437,153,140,140,140
WHIB1B,WHIB1D,0.0,2.93,Cable,0.0896,0.2773,3.437,153,140,140,140
WHIB1C,WHIB1E,3.57,0.0,OHL,0.3644,0.8355,0.177,132,123,106,123
WHIB1D,WHIB1F,3.57,0.0,OHL,0.3644,0.8355,0.177,132,123,106,123
WHIB1E,WHIB1G,0.0,0.44,Cable,0.0134,0.0416,0.515,153,140,140,140
WHIB1F,WHIB1H,0.0,0.44,Cable,0.0134,0.0416,0.515,153,140,140,140
WIOW1Q,WOHI1Q,0.0,3.4,Cable,0.075,0.29,3.908,174,147,147,147
WIOW1R,WOHI1R,0.0,3.4,Cable,0.075,0.29,3.908,174,147,147,147
